,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,streaming_service_type
98,22-Jul,2018,18,83,1,0,0,0,Netflix
99,Adam Sandler: 100% Fresh,2018,18,83,1,0,0,0,Netflix
100,Guru,2007,13,83,1,0,0,0,Netflix
101,A Twelve-Year Night,2018,18,83,1,0,0,0,Netflix
102,Dumplin',2018,13,83,1,0,0,0,Netflix
103,The Conjuring,2013,18,83,1,0,0,0,Netflix
104,Marriage Story,2019,18,83,1,0,0,0,Netflix
105,My Octopus Teacher,2020,0,83,1,0,0,0,Netflix
106,About Time,2013,13,83,1,0,0,0,Netflix
107,Hey Arnold! The Jungle Movie,2017,7,83,1,1,0,0,Netflix
108,Kung Fu Panda,2008,7,83,1,0,0,0,Netflix
109,Superbad,2007,18,83,1,0,0,0,Netflix
110,The Invisible Guest,2016,18,83,1,0,0,0,Netflix
111,Chinatown,1974,18,82,1,0,0,0,Netflix
112,Mystic River,2003,18,82,1,0,0,0,Netflix
113,The Theory of Everything,2014,13,82,1,0,0,0,Netflix
114,Springsteen On Broadway,2018,0,82,1,0,0,0,Netflix
115,The Life Ahead,2020,13,82,1,0,0,0,Netflix
116,The Terminal,2004,13,82,1,0,1,0,Netflix
117,Scott Pilgrim vs. the World,2010,13,82,1,0,0,0,Netflix
118,Being Elmo: A Puppeteer's Journey,2011,7,82,1,0,0,0,Netflix
119,Life of Brian,1979,18,82,1,0,0,0,Netflix
120,The Resistance Banker,2018,18,82,1,0,0,0,Netflix
121,How to Train Your Dragon 2,2014,7,82,1,0,0,0,Netflix
122,The Endless Trench,2019,0,82,1,0,0,0,Netflix
123,Even the Rain,2010,0,82,1,0,0,0,Netflix
124,Love Actually,2003,18,82,1,0,0,0,Netflix
125,Dear Ex,2018,18,82,1,0,0,0,Netflix
126,Braven,2018,18,82,1,0,0,0,Netflix
127,Period. End of Sentence.,2018,0,82,1,0,0,0,Netflix
128,Captain Fantastic,2016,18,82,1,0,0,0,Netflix
129,Veronica,2017,18,8,1,0,0,0,Netflix
130,The Siege of Jadotville,2016,0,8,1,0,0,0,Netflix
131,Into the Inferno,2016,0,8,1,0,0,0,Netflix
132,Ricky Gervais: Humanity,2018,18,8,1,0,0,0,Netflix
133,A Whisker Away,2020,7,8,1,0,0,0,Netflix
134,Lady Bird,2017,18,8,1,0,0,0,Netflix
135,Road to Perdition,2002,18,8,1,0,0,0,Netflix
136,Boogie Nights,1997,18,8,1,0,0,0,Netflix
137,Total Recall,1990,16,8,1,0,0,0,Netflix
138,Bo Burnham: Inside,2021,18,8,1,0,0,0,Netflix
